Team_Home,Team_Away,USxg_Home,USxg_Away,Date,USProb_Home,USProb_Away,Season,League
Hellas Verona,Sampdoria,0.989514,1.58432,2017-09-20,0.218,0.5135,2017-2018,SerieA
Atalanta,Crotone,2.78559,0.333622,2017-09-20,0.9327,0.0096,2017-2018,SerieA
La Coruña,Alavés,1.93585,0.21606,2017-09-20,0.8523,0.0229,2017-2018,LaLiga
Sevilla,Las Palmas,1.38776,0.370691,2017-09-20,0.6923,0.0719,2017-2018,LaLiga
Real Madrid,Betis,3.39115,1.21251,2017-09-20,0.8167,0.0668,2017-2018,LaLiga
Villarreal,Espanyol,1.91885,0.992677,2017-09-21,0.6216,0.1491,2017-2018,LaLiga
Celta Vigo,Getafe,0.732797,0.743449,2017-09-21,0.3067,0.3114,2017-2018,LaLiga
Levante,Real Sociedad,1.78708,0.570261,2017-09-21,0.7359,0.0762,2017-2018,LaLiga
Nice,Angers,1.75619,1.67713,2017-09-22,0.3759,0.3455,2017-2018,Ligue1
Bayern Munich,Wolfsburg,2.33812,0.470696,2017-09-22,0.8527,0.033,2017-2018,Bundesliga
Lille,Monaco,1.03899,2.53149,2017-09-22,0.0663,0.7786,2017-2018,Ligue1
Atlético Madrid,Sevilla,1.54213,0.370195,2017-09-23,0.7298,0.0604,2017-2018,LaLiga
West Ham,Tottenham,0.67667,1.45327,2017-09-23,0.1385,0.5867,2017-2018,EPL
Roma,Udinese,2.98551,1.28539,2017-09-23,0.7724,0.0842,2017-2018,SerieA
Werder Bremen,Freiburg,1.41802,0.859674,2017-09-23,0.5118,0.206,2017-2018,Bundesliga
RB Leipzig,Eint Frankfurt,1.54654,0.539765,2017-09-23,0.6566,0.0993,2017-2018,Bundesliga
Hoffenheim,Schalke 04,1.31728,1.0397,2017-09-23,0.426,0.2866,2017-2018,Bundesliga
Mainz 05,Hertha BSC,1.17811,0.53695,2017-09-23,0.5506,0.1048,2017-2018,Bundesliga
Stuttgart,Augsburg,0.437172,0.373592,2017-09-23,0.2613,0.2235,2017-2018,Bundesliga
Stoke City,Chelsea,0.600959,1.59815,2017-09-23,0.0891,0.6822,2017-2018,EPL
Swansea City,Watford,1.50811,1.25817,2017-09-23,0.4134,0.2512,2017-2018,EPL
Manchester City,Crystal Palace,5.72543,0.611018,2017-09-23,0.9967,0.0006,2017-2018,EPL
Burnley,Huddersfield,0.369454,0.312561,2017-09-23,0.2589,0.1969,2017-2018,EPL
Everton,Bournemouth,2.21092,0.384728,2017-09-23,0.8918,0.0187,2017-2018,EPL
Southampton,Manchester Utd,0.802062,1.07247,2017-09-23,0.2275,0.443,2017-2018,EPL
Alavés,Real Madrid,0.703287,2.7181,2017-09-23,0.0417,0.8446,2017-2018,LaLiga
Montpellier,Paris S-G,0.156853,0.664671,2017-09-23,0.0806,0.442,2017-2018,Ligue1
