League,Season,Team_Home,Date,game_id,Goal_Home,Win_Home,o_rating_Home,d_rating_Home,Team_Away,Goal_Away,Win_Away,o_rating_Away,d_rating_Away
Bundesliga,2017-2018,M'Gladbach,2017-09-09,3985,0.0,0,0.9598952,0.87232286,Eint Frankfurt,1.0,1,1.0352669,0.67000496
Bundesliga,2017-2018,Mainz 05,2017-09-09,3986,3.0,1,0.8896147,1.1752323,Leverkusen,1.0,0,1.238517,1.1728239
Bundesliga,2017-2018,Wolfsburg,2017-09-09,3987,1.0,0,0.5699844,1.123158,Hannover 96,1.0,0,0.848003,0.8658148
Bundesliga,2017-2018,Augsburg,2017-09-09,3988,3.0,1,1.5854206,0.7973738,Köln,0.0,0,1.2200253,0.89187634
Bundesliga,2017-2018,Freiburg,2017-09-09,3989,0.0,0,0.38058084,1.3179071,Dortmund,0.0,0,1.3091762,0.56075597
Bundesliga,2017-2018,Hoffenheim,2017-09-09,3990,2.0,1,0.98061585,0.95330924,Bayern Munich,0.0,0,0.7703079,0.7994241
Ligue1,2017-2018,Montpellier,2017-09-09,2706,0.0,0,0.76575434,1.0247508,Nantes,1.0,1,1.1396397,0.90119076
LaLiga,2017-2018,Valencia,2017-09-09,6956,0.0,0,0.9923723,1.1659703,Atlético Madrid,0.0,0,1.135813,0.96330976
LaLiga,2017-2018,Sevilla,2017-09-09,6957,3.0,1,1.7873113,0.83619714,Eibar,0.0,0,0.6827288,1.0265507
LaLiga,2017-2018,Barcelona,2017-09-09,6958,5.0,1,1.8968692,0.77287257,Espanyol,0.0,0,0.80734956,1.1944318
Ligue1,2017-2018,Caen,2017-09-09,2708,2.0,1,0.5813386,0.9952689,Dijon,1.0,0,0.6578979,0.9653753
Ligue1,2017-2018,Troyes,2017-09-09,2707,0.0,0,0.85805786,1.1136185,Toulouse,0.0,0,0.7064633,0.89670867
LaLiga,2017-2018,Real Madrid,2017-09-09,6955,1.0,0,1.2220271,0.8149514,Levante,1.0,0,0.8365128,0.9181196
Ligue1,2017-2018,Nice,2017-09-09,2704,4.0,1,1.1949329,1.2810574,Monaco,0.0,0,0.74226284,0.881015
EPL,2017-2018,Manchester City,2017-09-09,1170,5.0,1,1.5480537,0.7657112,Liverpool,0.0,0,0.85006,1.1761308
EPL,2017-2018,Southampton,2017-09-09,1171,0.0,0,0.8975079,0.92324936,Watford,2.0,1,0.82864726,0.88986707
