0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
32,Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,31-310,1989,25,22,"2,009",22.3,9,1,7,2,2,2,0,0.40,0.04,0.45,0.31,0.36,9.0,7.4,1.9,9.4,0.40,0.09,0.49,0.33,0.42,Matches
33,Serge Aurier,ci CIV,DF,Tottenham,28-121,1992,17,17,"1,425",15.8,2,1,2,0,0,0,0,0.13,0.06,0.19,0.13,0.19,1.3,1.3,1.5,2.9,0.08,0.10,0.18,0.08,0.18,Matches
34,Charlie Austin,eng ENG,FW,West Brom,31-293,1989,5,0,138,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.13,0.00,0.13,0.13,0.13,Matches
35,Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,29-225,1991,27,20,"1,821",20.2,1,3,1,0,0,2,0,0.05,0.15,0.20,0.05,0.20,1.8,1.8,0.6,2.4,0.09,0.03,0.12,0.09,0.12,Matches
36,Luke Ayling,eng ENG,DF,Leeds United,29-242,1991,32,32,"2,859",31.8,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,1.0,1.0,2.5,3.5,0.03,0.08,0.11,0.03,0.11,Matches
37,César Azpilicueta,es ESP,DF,Chelsea,31-239,1989,21,19,"1,761",19.6,1,1,1,0,0,4,0,0.05,0.05,0.10,0.05,0.10,0.8,0.8,1.8,2.5,0.04,0.09,0.13,0.04,0.13,Matches
38,Eric Bailly,ci CIV,DF,Manchester Utd,27-012,1994,8,7,638,7.1,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matches
39,Fabián Balbuena,py PAR,DF,West Ham,29-244,1991,13,12,"1,118",12.4,1,0,1,0,0,1,0,0.08,0.00,0.08,0.08,0.08,0.6,0.6,0.0,0.6,0.05,0.00,0.05,0.05,0.05,Matches
40,George Baldock,eng ENG,DF,Sheffield Utd,28-046,1993,27,27,"2,337",26.0,0,2,0,0,0,4,0,0.00,0.08,0.08,0.00,0.08,1.1,1.1,1.3,2.3,0.04,0.05,0.09,0.04,0.09,Matches
41,Gareth Bale,wal WAL,FW,Tottenham,31-282,1989,15,7,650,7.2,6,2,6,0,0,1,0,0.83,0.28,1.11,0.83,1.11,3.2,3.2,1.2,4.4,0.45,0.16,0.61,0.45,0.61,Matches
42,Patrick Bamford,eng ENG,FW,Leeds United,27-231,1993,32,32,"2,632",29.2,14,7,13,1,1,2,0,0.48,0.24,0.72,0.44,0.68,15.1,14.3,3.5,17.8,0.52,0.12,0.64,0.49,0.61,Matches
43,Phil Bardsley,sco SCO,DF,Burnley,35-300,1985,4,3,274,3.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.04,0.00,0.04,0.04,0.04,Matches
44,Ross Barkley,eng ENG,MF,Chelsea,27-140,1993,2,0,42,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.06,0.16,0.22,0.06,0.22,Matches
