League,Season,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,G+A-PK
EPL,2018-2019,384,Bobby Reid,jm JAM,"FW,MF",Cardiff City,25,1993,27,16,"1,424",15.8,0.32,0.13,0.44,0.25,0.38
EPL,2018-2019,385,Declan Rice,eng ENG,MF,West Ham,19,1999,34,34,"3,003",33.4,0.06,0.00,0.06,0.06,0.06
EPL,2018-2019,386,Jazz Richards,wal WAL,"DF,MF",Cardiff City,27,1991,4,0,132,1.5,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,387,Richarlison,br BRA,"FW,MF",Everton,21,1997,35,32,"2,665",29.6,0.44,0.03,0.47,0.44,0.47
EPL,2018-2019,388,Diego Rico,es ESP,"DF,MF",Bournemouth,25,1993,12,5,612,6.8,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,389,Sergio Rico,es ESP,GK,Fulham,24,1993,29,29,"2,610",29.0,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,390,Matt Ritchie,sco SCO,"DF,MF",Newcastle Utd,28,1989,36,35,"2,928",32.5,0.06,0.25,0.31,0.03,0.28
EPL,2018-2019,391,Andrew Robertson,sco SCO,DF,Liverpool,24,1994,36,36,"3,216",35.7,0.00,0.31,0.31,0.00,0.31
EPL,2018-2019,392,Marcos Rojo,ar ARG,DF,Manchester Utd,28,1990,5,2,212,2.4,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,393,Oriol Romeu,es ESP,MF,Southampton,26,1991,31,25,"2,136",23.7,0.04,0.00,0.04,0.04,0.04
EPL,2018-2019,394,Salomón Rondón,ve VEN,FW,Newcastle Utd,28,1989,32,30,"2,603",28.9,0.38,0.24,0.62,0.38,0.62
EPL,2018-2019,395,Danny Rose,eng ENG,"DF,MF",Tottenham,28,1990,26,20,"1,798",20.0,0.00,0.15,0.15,0.00,0.15
EPL,2018-2019,396,Aaron Rowe,eng ENG,FW,Huddersfield,17,2000,2,1,69,0.8,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,397,John Ruddy,eng ENG,GK,Wolves,31,1986,1,1,90,1.0,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,398,Antonio Rüdiger,de GER,DF,Chelsea,25,1993,33,33,"2,871",31.9,0.03,0.00,0.03,0.03,0.03
EPL,2018-2019,399,Mathew Ryan,au AUS,GK,Brighton,26,1992,34,34,"3,060",34.0,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,400,Abdelhamid Sabiri,de GER,FW,Huddersfield,21,1996,2,1,48,0.5,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,G+A-PK
EPL,2018-2019,401,Romain Saïss,ma MAR,"MF,DF",Wolves,28,1990,19,12,"1,149",12.8,0.16,0.00,0.16,0.16,0.16
EPL,2018-2019,402,Bukayo Saka,eng ENG,FW,Arsenal,16,2001,1,0,8,0.1,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,403,Mamadou Sakho,fr FRA,DF,Crystal Palace,28,1990,27,27,"2,416",26.8,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,404,Bakary Sako,ml MLI,"FW,MF",Crystal Palace,30,1988,4,0,29,0.3,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,405,Mohamed Salah,eg EGY,FW,Liverpool,26,1992,38,37,"3,250",36.1,0.61,0.22,0.83,0.53,0.75
EPL,2018-2019,406,Alexis Sánchez,cl CHI,"FW,MF",Manchester Utd,29,1988,20,9,880,9.8,0.10,0.31,0.41,0.10,0.41
EPL,2018-2019,407,Carlos Sánchez,co COL,MF,West Ham,32,1986,7,2,245,2.7,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,408,Davinson Sánchez,co COL,DF,Tottenham,22,1996,23,22,"1,942",21.6,0.05,0.05,0.09,0.05,0.09
EPL,2018-2019,409,Leroy Sané,de GER,FW,Manchester City,22,1996,31,21,"1,867",20.7,0.48,0.48,0.96,0.48,0.96
EPL,2018-2019,410,Fabian Schär,ch SUI,DF,Newcastle Utd,26,1991,24,22,"1,999",22.2,0.18,0.05,0.23,0.18,0.23
EPL,2018-2019,411,Christopher Schindler,de GER,DF,Huddersfield,28,1990,37,37,"3,260",36.2,0.03,0.00,0.03,0.03,0.03
EPL,2018-2019,412,Jeffrey Schlupp,gh GHA,"MF,FW",Crystal Palace,25,1992,30,18,"1,670",18.6,0.22,0.05,0.27,0.22,0.27
EPL,2018-2019,413,Kasper Schmeichel,dk DEN,GK,Leicester City,31,1986,38,38,"3,420",38.0,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,414,Morgan Schneiderlin,fr FRA,MF,Everton,28,1989,14,10,834,9.3,0.00,0.11,0.11,0.00,0.11
EPL,2018-2019,415,André Schürrle,de GER,"FW,MF",Fulham,27,1990,24,21,"1,641",18.2,0.33,0.00,0.33,0.33,0.33
EPL,2018-2019,416,Ken Sema,se SWE,"FW,MF",Watford,24,1993,17,9,754,8.4,0.12,0.24,0.36,0.12,0.36
EPL,2018-2019,417,Jean Seri,ci CIV,MF,Fulham,27,1991,32,27,"2,244",24.9,0.04,0.08,0.12,0.04,0.12
EPL,2018-2019,418,Ryan Sessegnon,eng ENG,"FW,DF",Fulham,18,2000,35,26,"2,300",25.6,0.08,0.23,0.31,0.08,0.31
EPL,2018-2019,419,Xherdan Shaqiri,ch SUI,"FW,MF",Liverpool,26,1991,24,11,"1,064",11.8,0.51,0.25,0.76,0.51,0.76
EPL,2018-2019,420,Luke Shaw,eng ENG,DF,Manchester Utd,23,1995,29,29,"2,591",28.8,0.03,0.14,0.17,0.03,0.17
EPL,2018-2019,421,Jonjo Shelvey,eng ENG,MF,Newcastle Utd,26,1992,16,10,948,10.5,0.09,0.09,0.19,0.09,0.19
EPL,2018-2019,422,Gylfi Sigurðsson,is ISL,MF,Everton,28,1989,38,36,"3,117",34.6,0.38,0.17,0.55,0.32,0.49
EPL,2018-2019,423,Adrien Silva,pt POR,MF,Leicester City,29,1989,2,1,88,1.0,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,424,Bernardo Silva,pt POR,"MF,FW",Manchester City,23,1994,36,31,"2,854",31.7,0.22,0.22,0.44,0.22,0.44
EPL,2018-2019,425,David Silva,es ESP,MF,Manchester City,32,1986,33,28,"2,401",26.7,0.22,0.30,0.52,0.22,0.52
EPL,2018-2019,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,G+A-PK
EPL,2018-2019,426,Xande Silva,pt POR,FW,West Ham,21,1997,1,0,18,0.2,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,427,Danny Simpson,eng ENG,DF,Leicester City,31,1987,6,3,292,3.2,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,428,Jack Simpson,eng ENG,DF,Bournemouth,21,1996,6,4,403,4.5,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,429,Josh Sims,eng ENG,"FW,MF",Southampton,21,1997,7,2,212,2.4,0.00,0.42,0.42,0.00,0.42
EPL,2018-2019,430,Moussa Sissoko,fr FRA,MF,Tottenham,28,1989,29,27,"2,330",25.9,0.00,0.12,0.12,0.00,0.12
EPL,2018-2019,431,Oliver Skipp,eng ENG,"MF,FW",Tottenham,17,2000,8,2,220,2.4,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,432,Callum Slattery,eng ENG,MF,Southampton,19,1999,3,1,112,1.2,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,433,Chris Smalling,eng ENG,DF,Manchester Utd,28,1989,24,24,"2,127",23.6,0.04,0.00,0.04,0.04,0.04
EPL,2018-2019,434,Adam Smith,eng ENG,DF,Bournemouth,27,1991,25,25,"2,066",23.0,0.04,0.04,0.09,0.04,0.09
EPL,2018-2019,435,Tommy Smith,eng ENG,DF,Huddersfield,26,1992,15,13,"1,141",12.7,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,436,Robert Snodgrass,sco SCO,"MF,FW",West Ham,30,1987,33,25,"2,220",24.7,0.08,0.20,0.28,0.08,0.28
EPL,2018-2019,437,Cédric Soares,pt POR,DF,Southampton,26,1991,18,16,"1,495",16.6,0.06,0.12,0.18,0.06,0.18
EPL,2018-2019,438,Ramadan Sobhi,eg EGY,FW,Huddersfield,21,1997,4,0,79,0.9,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,439,Dominic Solanke,eng ENG,FW,Bournemouth,20,1997,10,2,347,3.9,0.00,0.26,0.26,0.00,0.26
EPL,2018-2019,440,Pape Souaré,sn SEN,DF,Crystal Palace,28,1990,1,0,1,0.0,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,441,Çağlar Söyüncü,tr TUR,DF,Leicester City,22,1996,6,4,372,4.1,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,442,Julián Speroni,ar ARG,GK,Crystal Palace,39,1979,1,1,90,1.0,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,443,Junior Stanislas,eng ENG,"MF,FW",Bournemouth,28,1989,23,11,"1,031",11.5,0.17,0.26,0.44,0.09,0.35
EPL,2018-2019,444,Dale Stephens,eng ENG,MF,Brighton,29,1989,30,29,"2,485",27.6,0.04,0.04,0.07,0.04,0.07
EPL,2018-2019,445,Jack Stephens,eng ENG,DF,Southampton,24,1994,24,19,"1,700",18.9,0.05,0.00,0.05,0.05,0.05
EPL,2018-2019,446,Raheem Sterling,eng ENG,FW,Manchester City,23,1994,34,31,"2,771",30.8,0.55,0.29,0.84,0.55,0.84
EPL,2018-2019,447,John Stones,eng ENG,DF,Manchester City,24,1994,24,20,"1,764",19.6,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,448,Daniel Sturridge,eng ENG,"FW,MF",Liverpool,28,1989,18,4,509,5.7,0.35,0.18,0.53,0.35,0.53
EPL,2018-2019,449,Denis Suárez,es ESP,FW,Arsenal,24,1994,4,0,71,0.8,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,450,Isaac Success,ng NGA,"FW,MF",Watford,22,1996,30,9,"1,052",11.7,0.09,0.09,0.17,0.09,0.17
EPL,2018-2019,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,G+A-PK
EPL,2018-2019,451,Ki Sung-yueng,kr KOR,MF,Newcastle Utd,29,1989,18,14,"1,302",14.5,0.00,0.07,0.07,0.00,0.07
EPL,2018-2019,452,Andrew Surman,eng ENG,MF,Bournemouth,31,1986,18,16,"1,439",16.0,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,453,Sam Surridge,eng ENG,"FW,DF",Bournemouth,20,1998,2,0,13,0.1,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,454,Alexander Sørloth,no NOR,"FW,MF",Crystal Palace,22,1995,12,0,185,2.1,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,455,Matt Targett,eng ENG,"DF,MF",Southampton,22,1995,16,13,"1,186",13.2,0.08,0.23,0.30,0.08,0.30
EPL,2018-2019,456,James Tarkowski,eng ENG,DF,Burnley,25,1992,35,35,"3,086",34.3,0.09,0.03,0.12,0.09,0.12
EPL,2018-2019,457,Charlie Taylor,eng ENG,DF,Burnley,24,1993,38,35,"3,243",36.0,0.00,0.03,0.03,0.00,0.03
EPL,2018-2019,458,Youri Tielemans,be BEL,MF,Leicester City,21,1997,13,13,"1,086",12.1,0.25,0.33,0.58,0.25,0.58
EPL,2018-2019,459,James Tomkins,eng ENG,DF,Crystal Palace,29,1989,29,29,"2,560",28.4,0.04,0.04,0.07,0.04,0.07
EPL,2018-2019,460,Lucas Torreira,uy URU,MF,Arsenal,22,1996,34,24,"2,382",26.5,0.08,0.08,0.15,0.08,0.15
EPL,2018-2019,461,Cenk Tosun,tr TUR,FW,Everton,27,1991,25,10,"1,059",11.8,0.25,0.25,0.51,0.25,0.51
EPL,2018-2019,462,Andros Townsend,eng ENG,"FW,MF",Crystal Palace,27,1991,38,34,"3,009",33.4,0.18,0.12,0.30,0.18,0.30
EPL,2018-2019,463,Adama Traoré,es ESP,"FW,DF",Wolves,22,1996,29,8,902,10.0,0.10,0.10,0.20,0.10,0.20
EPL,2018-2019,464,Mark Travers,ie IRL,GK,Bournemouth,19,1999,2,2,180,2.0,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,465,Kieran Trippier,eng ENG,DF,Tottenham,27,1990,27,26,"2,276",25.3,0.04,0.12,0.16,0.04,0.16
EPL,2018-2019,466,Antonio Valencia,ec ECU,"DF,MF",Manchester Utd,32,1985,6,5,466,5.2,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,467,Yan Valery,fr FRA,"DF,MF",Southampton,19,1999,23,20,"1,712",19.0,0.11,0.05,0.16,0.11,0.16
EPL,2018-2019,468,Jamie Vardy,eng ENG,FW,Leicester City,31,1987,34,30,"2,726",30.3,0.59,0.13,0.73,0.46,0.59
EPL,2018-2019,469,Jan Vertonghen,be BEL,DF,Tottenham,31,1987,22,22,"1,911",21.2,0.05,0.00,0.05,0.05,0.05
EPL,2018-2019,470,Jannik Vestergaard,dk DEN,DF,Southampton,25,1992,23,23,"2,027",22.5,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,471,Luciano Vietto,ar ARG,"FW,MF",Fulham,24,1993,20,10,986,11.0,0.09,0.37,0.46,0.09,0.46
EPL,2018-2019,472,Rúben Vinagre,pt POR,"DF,MF",Wolves,19,1999,17,7,710,7.9,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,473,Sam Vokes,wal WAL,FW,Burnley,28,1989,20,10,915,10.2,0.30,0.00,0.30,0.30,0.30
