League,Season,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,xG,xA,xG+xA,npxG,npxG+xA
EPL,2017-2018,215,Emerson Hyndman,us USA,MF,Bournemouth,21,1996,1,1,58,0.6,0.00,0.05,0.05,0.00,0.05
EPL,2017-2018,216,Pierre Højbjerg,dk DEN,MF,Southampton,21,1995,23,19,"1,670",18.6,0.04,0.04,0.07,0.04,0.07
EPL,2017-2018,217,Jordon Ibe,eng ENG,"MF,FW",Bournemouth,21,1995,32,22,"1,995",22.2,0.13,0.17,0.30,0.13,0.30
EPL,2017-2018,218,Vicente Iborra,es ESP,MF,Leicester City,29,1988,19,17,"1,410",15.7,0.10,0.01,0.11,0.10,0.11
EPL,2017-2018,219,Zlatan Ibrahimović,se SWE,"MF,FW",Manchester Utd,35,1981,5,1,106,1.2,0.25,0.13,0.38,0.25,0.38
EPL,2017-2018,220,Kelechi Iheanacho,ng NGA,"FW,MF",Leicester City,20,1996,21,7,830,9.2,0.34,0.23,0.58,0.34,0.58
EPL,2017-2018,221,Tom Ince,eng ENG,"MF,FW",Huddersfield,25,1992,33,27,"2,452",27.2,0.27,0.05,0.32,0.27,0.32
EPL,2017-2018,222,Danny Ings,eng ENG,FW,Liverpool,25,1992,8,3,267,3.0,0.59,0.08,0.67,0.59,0.67
EPL,2017-2018,223,Stephen Ireland,ie IRL,MF,Stoke City,30,1986,4,1,131,1.5,0.21,0.03,0.23,0.21,0.23
EPL,2017-2018,224,Alex Iwobi,ng NGA,"FW,MF",Arsenal,21,1996,26,22,"1,830",20.3,0.15,0.18,0.33,0.15,0.33
EPL,2017-2018,225,José Izquierdo,co COL,"MF,FW",Brighton,25,1992,32,23,"1,984",22.0,0.18,0.09,0.28,0.18,0.28
EPL,2017-2018,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,xG,xA,xG+xA,npxG,npxG+xA
EPL,2017-2018,226,Phil Jagielka,eng ENG,DF,Everton,34,1982,25,23,"2,065",22.9,0.02,0.00,0.02,0.02,0.02
EPL,2017-2018,227,Eldin Jakupović,ch SUI,GK,Leicester City,32,1984,2,2,180,2.0,0.00,0.00,0.00,0.00,0.00
EPL,2017-2018,228,Matty James,eng ENG,MF,Leicester City,26,1991,13,11,993,11.0,0.09,0.01,0.10,0.09,0.10
EPL,2017-2018,229,Daryl Janmaat,nl NED,DF,Watford,28,1989,23,21,"1,820",20.2,0.07,0.05,0.12,0.07,0.12
EPL,2017-2018,230,Vincent Janssen,nl NED,DF,Tottenham,23,1994,1,0,1,0.0,0.00,0.00,0.00,0.00,0.00
EPL,2017-2018,231,Jesé,es ESP,"FW,MF",Stoke City,24,1993,13,8,614,6.8,0.12,0.11,0.23,0.12,0.23
EPL,2017-2018,232,Gabriel Jesus,br BRA,FW,Manchester City,20,1997,29,19,"1,668",18.5,0.71,0.12,0.82,0.62,0.74
EPL,2017-2018,233,Glen Johnson,eng ENG,DF,Stoke City,32,1984,9,7,547,6.1,0.03,0.06,0.09,0.03,0.09
EPL,2017-2018,234,Phil Jones,eng ENG,DF,Manchester Utd,25,1992,23,23,"1,973",21.9,0.02,0.00,0.02,0.02,0.02
EPL,2017-2018,235,Joselu,es ESP,FW,Newcastle Utd,27,1990,30,19,"1,712",19.0,0.34,0.02,0.37,0.30,0.33
EPL,2017-2018,236,Mathias Jørgensen,dk DEN,DF,Huddersfield,27,1990,38,38,"3,420",38.0,0.06,0.01,0.07,0.06,0.07
EPL,2017-2018,237,Christian Kabasele,be BEL,DF,Watford,26,1991,28,27,"2,330",25.9,0.02,0.00,0.02,0.02,0.02
EPL,2017-2018,238,Younès Kaboul,fr FRA,DF,Watford,31,1986,2,2,150,1.7,0.00,0.00,0.00,0.00,0.00
EPL,2017-2018,239,Elias Kachunga,cd COD,"FW,MF",Huddersfield,25,1992,19,17,"1,329",14.8,0.12,0.04,0.17,0.12,0.17
EPL,2017-2018,240,Sullay Kaikai,eng ENG,MF,Crystal Palace,21,1995,1,0,14,0.2,0.00,0.00,0.00,0.00,0.00
EPL,2017-2018,241,Harry Kane,eng ENG,FW,Tottenham,24,1993,37,35,"3,076",34.2,0.76,0.08,0.84,0.70,0.78
