League,Season,Team_Home,Date,game_id,Goal_Home,Win_Home,o_rating_Home,d_rating_Home,Team_Away,Goal_Away,Win_Away,o_rating_Away,d_rating_Away
SerieA,2017-2018,Napoli,2017-08-27,5430,3.0,1,1.429383,0.9198214,Atalanta,1.0,0,0.2181201,1.0252547
SerieA,2017-2018,Fiorentina,2017-08-27,5431,1.0,0,0.620488,0.8002971,Sampdoria,2.0,1,0.32193494,0.77617604
SerieA,2017-2018,Milan,2017-08-27,5432,2.0,1,0.0944644,0.82741153,Cagliari,1.0,0,0.033165768,1.2766042
LaLiga,2017-2018,Eibar,2017-08-27,6951,0.0,0,0.083284944,0.747619,Athletic Club,1.0,1,0.5732189,1.1220073
Ligue1,2017-2018,Monaco,2017-08-27,2701,6.0,1,0.38954794,0.8737256,Marseille,1.0,0,0.75003785,1.2495209
Ligue1,2017-2018,Angers,2017-08-27,2700,1.0,0,0.32502404,0.90888125,Lille,1.0,0,0.19808286,0.8164472
Ligue1,2017-2018,Guingamp,2017-08-27,2699,2.0,1,0.64798784,0.82500005,Strasbourg,0.0,0,0.14310458,0.8174565
SerieA,2017-2018,SPAL,2017-08-27,5429,3.0,1,0.1750108,0.89829445,Udinese,2.0,0,0.593352,0.93245196
LaLiga,2017-2018,Real Madrid,2017-08-27,6953,2.0,0,1.8085244,1.05942,Valencia,2.0,0,1.1598053,0.77617604
LaLiga,2017-2018,Espanyol,2017-08-27,6950,0.0,0,0.0,0.7540513,Leganés,1.0,1,0.99303067,0.77617604
EPL,2017-2018,West Brom,2017-08-27,1166,1.0,0,0.66354525,0.7850747,Stoke City,1.0,0,0.23298839,0.90054905
SerieA,2017-2018,Chievo,2017-08-27,5428,1.0,0,0.68393433,0.88835096,Lazio,2.0,1,0.71323484,1.2151071
SerieA,2017-2018,Crotone,2017-08-27,5433,0.0,0,0.4777351,0.77617604,Hellas Verona,0.0,0,0.0,1.1230286
LaLiga,2017-2018,Getafe,2017-08-27,6952,0.0,0,0.2194139,0.77617604,Sevilla,1.0,1,0.7011607,0.94937605
EPL,2017-2018,Tottenham,2017-08-27,1168,1.0,0,1.5551072,1.2718534,Burnley,1.0,0,0.33307862,0.77617604
EPL,2017-2018,Liverpool,2017-08-27,1169,4.0,1,1.506374,1.1498243,Arsenal,0.0,0,0.79846114,1.541523
SerieA,2017-2018,Torino,2017-08-27,5427,3.0,1,0.04853309,1.4497644,Sassuolo,0.0,0,0.0,0.77617604
LaLiga,2017-2018,Leganés,2017-09-08,6954,1.0,0,0.0,0.8382863,Getafe,2.0,1,0.75095963,0.77617604
Ligue1,2017-2018,Lille,2017-09-08,2702,0.0,0,0.1314406,0.9260417,Bordeaux,0.0,0,1.3787003,1.4413928
Bundesliga,2017-2018,Hamburger SV,2017-09-08,3984,0.0,0,0.4224371,0.77617604,RB Leipzig,2.0,1,0.7264361,0.77617604
Ligue1,2017-2018,Metz,2017-09-08,2703,1.0,0,0.28298962,0.77617604,Paris S-G,5.0,1,4.636602,1.3186591
Ligue1,2017-2018,Strasbourg,2017-09-09,2705,0.0,0,0.21909012,1.0805515,Amiens,1.0,1,0.81201315,0.9193637
Bundesliga,2017-2018,M'Gladbach,2017-09-09,3985,0.0,0,0.17756578,1.2190812,Eint Frankfurt,1.0,1,0.7846811,0.77617604
Bundesliga,2017-2018,Mainz 05,2017-09-09,3986,3.0,1,1.8828306,1.1915518,Leverkusen,1.0,0,0.67701215,1.0741792
Bundesliga,2017-2018,Wolfsburg,2017-09-09,3987,1.0,0,0.47186646,0.95588183,Hannover 96,1.0,0,0.5637965,0.84680027
Bundesliga,2017-2018,Augsburg,2017-09-09,3988,3.0,1,2.5388403,0.77617604,Köln,0.0,0,0.23035854,0.79218537
Bundesliga,2017-2018,Freiburg,2017-09-09,3989,0.0,0,0.67141354,1.5954051,Dortmund,0.0,0,1.1711181,1.5969632
Bundesliga,2017-2018,Hoffenheim,2017-09-09,3990,2.0,1,0.9279063,0.8898443,Bayern Munich,0.0,0,1.2197211,1.116492
Ligue1,2017-2018,Montpellier,2017-09-09,2706,0.0,0,0.06806912,0.7962412,Nantes,1.0,1,0.7719461,0.77617604
LaLiga,2017-2018,Valencia,2017-09-09,6956,0.0,0,0.3209791,1.2575818,Atlético Madrid,0.0,0,0.6683915,0.845515
LaLiga,2017-2018,Sevilla,2017-09-09,6957,3.0,1,1.8620006,1.1162162,Eibar,0.0,0,0.19950923,0.8983806
LaLiga,2017-2018,Barcelona,2017-09-09,6958,5.0,1,2.0579183,1.7346225,Espanyol,0.0,0,0.041992493,1.310552
